,idx,accuracy,gmean,class_0,class_1,class_2,class_3,class_4,drifts_alerts
0,500,0.16387959866220736,0.12215693741275924,0.013605442176870748,0.14492753623188406,0.16666666666666666,0.40350877192982454,0.20512820512820512,0
1,1000,0.184,0.12208067164290654,0.008547008547008548,0.1328125,0.1875,0.43529411764705883,0.2926829268292683,0
2,1500,0.188,0.1493758483550098,0.023076923076923078,0.11403508771929824,0.2463768115942029,0.4411764705882353,0.26,0
3,2000,0.158,0.10454350875836255,0.00423728813559322,0.12307692307692308,0.2597402597402597,0.36363636363636365,0.2535211267605634,0
4,2500,0.162,0.10472257638319359,0.003952569169960474,0.1721311475409836,0.18181818181818182,0.37333333333333335,0.2727272727272727,0
5,3000,0.22,0.14484000046470755,0.007936507936507936,0.20175438596491227,0.29333333333333333,0.42168674698795183,0.3218390804597701,0
6,3500,0.206,0.16198934559474196,0.019455252918287938,0.14285714285714285,0.288135593220339,0.3925233644859813,0.3548387096774194,0
7,4000,0.184,0.16128713237112058,0.028688524590163935,0.12781954887218044,0.2328767123287671,0.36923076923076925,0.34615384615384615,0
8,4500,0.178,0.14835026206909152,0.014925373134328358,0.15833333333333333,0.22950819672131148,0.3974358974358974,0.3333333333333333,0
9,5000,0.212,0.17236299940664765,0.019762845849802372,0.18439716312056736,0.29850746268656714,0.40789473684210525,0.34285714285714286,0
10,5500,0.18,0.10706342590768206,0.0040650406504065045,0.08771929824561403,0.2823529411764706,0.43661971830985913,0.32,0
11,6000,0.188,0.15639763219182296,0.019157088122605363,0.15315315315315314,0.2857142857142857,0.38271604938271603,0.2916666666666667,0
12,6500,0.202,0.13536439791807267,0.00796812749003984,0.16964285714285715,0.265625,0.3894736842105263,0.325,0
13,7000,0.224,0.1680892416848616,0.015873015873015872,0.20610687022900764,0.273972602739726,0.40476190476190477,0.3698630136986301,0
14,7500,0.178,0.0,0.0,0.1810344827586207,0.2676056338028169,0.4,0.3230769230769231,0
15,8000,0.174,0.1458732323869994,0.015503875968992248,0.15126050420168066,0.24285714285714285,0.373134328358209,0.3108108108108108,0
16,8500,0.206,0.150317582879527,0.017543859649122806,0.13385826771653545,0.2702702702702703,0.4111111111111111,0.29411764705882354,0
17,9000,0.174,0.10632251340446057,0.003968253968253968,0.14285714285714285,0.23684210526315788,0.4111111111111111,0.24615384615384617,0
18,9500,0.192,0.1095121957555809,0.0038461538461538464,0.09900990099009901,0.3220338983050847,0.43,0.2987012987012987,0
19,10000,0.148,0.13774973099240997,0.01858736059479554,0.125,0.22413793103448276,0.3142857142857143,0.30303030303030304,0
20,10500,0.182,0.1418108246598228,0.01568627450980392,0.16216216216216217,0.22972972972972974,0.42528735632183906,0.23076923076923078,0
21,11000,0.182,0.1336764072762718,0.01171875,0.16379310344827586,0.17391304347826086,0.43333333333333335,0.29508196721311475,0
22,11500,0.16,0.11910738638606999,0.007575757575757576,0.13274336283185842,0.1864406779661017,0.3888888888888889,0.3287671232876712,0
23,12000,0.188,0.1421337217176596,0.011627906976744186,0.18095238095238095,0.25,0.38095238095238093,0.2894736842105263,0
24,12500,0.214,0.16099824096775897,0.026200873362445413,0.11290322580645161,0.2807017543859649,0.39080459770114945,0.3333333333333333,0
25,13000,0.188,0.14541644256997951,0.015209125475285171,0.16037735849056603,0.19696969696969696,0.42857142857142855,0.3157894736842105,0
26,13500,0.16,0.10164589177916193,0.004081632653061225,0.09401709401709402,0.25,0.358974358974359,0.3150684931506849,0
27,14000,0.192,0.1362438961559569,0.0072992700729927005,0.1651376146788991,0.2857142857142857,0.42528735632183906,0.32051282051282054,0
28,14500,0.2,0.1559306160032088,0.0205761316872428,0.1440677966101695,0.25,0.4146341463414634,0.3,0
29,15000,0.164,0.1331986679748198,0.016194331983805668,0.128,0.2236842105263158,0.38636363636363635,0.23404255319148937,0
30,15500,0.196,0.13405468365499298,0.008583690987124463,0.17777777777777778,0.265625,0.36046511627906974,0.2962962962962963,0
31,16000,0.2,0.1368082355379294,0.007722007722007722,0.16521739130434782,0.2702702702702703,0.42391304347826086,0.32786885245901637,0
32,16500,0.194,0.1574576112327755,0.020491803278688523,0.15625,0.25316455696202533,0.4,0.29850746268656714,0
33,17000,0.186,0.12349645680770414,0.008333333333333333,0.13934426229508196,0.2,0.3979591836734694,0.3108108108108108,0
34,17500,0.182,0.0,0.0,0.1565217391304348,0.296875,0.3888888888888889,0.29213483146067415,0
35,18000,0.186,0.11403098602729896,0.004081632653061225,0.1328125,0.26666666666666666,0.4050632911392405,0.32926829268292684,0
